question_id,scene_id,image_path,question_type,question,choice_a,choice_b,choice_c,choice_d,answer_label,difficulty,visibility,layout_family,ood_axis,trace_best_quadrant,trace_contamination_quadrant,trace_usable_holes,trace_crack_orientation,trace_dominant_ice,trace_fiducial_count
raw_q_678642746fa6cc,raw_grid_00000,images/raw_grid_00000.png,best_quadrant,Which quadrant contains the most usable thin-or-medium ice holes?,upper left,upper right,lower left,lower right,D,medium,clear,compressed,carbon_shadow,lower_right,upper_left,13,none,thin,1
raw_q_3df6992c34af4e,raw_grid_00000,images/raw_grid_00000.png,contamination_quadrant,Which quadrant contains the strongest contamination cluster?,upper left,upper right,lower left,lower right,A,medium,clear,compressed,carbon_shadow,lower_right,upper_left,13,none,thin,1
raw_q_23fadad51c63af,raw_grid_00000,images/raw_grid_00000.png,usable_hole_count,How many usable holes are visible in the grid square?,0-3,4-6,7-9,10 or more,D,medium,clear,compressed,carbon_shadow,lower_right,upper_left,13,none,thin,1
raw_q_3ee40bf547e952,raw_grid_00001,images/raw_grid_00001.png,fiducial_count,How many bright gold fiducial beads are visible?,0,1,2,3 or more,D,medium,frosty,square,beam_gradient,lower_left,lower_left,0,horizontal,thick,3
raw_q_de4ff7efff9923,raw_grid_00001,images/raw_grid_00001.png,best_quadrant,Which quadrant contains the most usable thin-or-medium ice holes?,upper left,upper right,lower left,lower right,C,medium,frosty,square,beam_gradient,lower_left,lower_left,0,horizontal,thick,3
raw_q_3511f0aa7c6e7d,raw_grid_00001,images/raw_grid_00001.png,usable_hole_count,How many usable holes are visible in the grid square?,0-3,4-6,7-9,10 or more,A,medium,frosty,square,beam_gradient,lower_left,lower_left,0,horizontal,thick,3
raw_q_5eee768c248e4c,raw_grid_00002,images/raw_grid_00002.png,best_quadrant,Which quadrant contains the most usable thin-or-medium ice holes?,upper left,upper right,lower left,lower right,C,hard,crowded,square,ice_rings,lower_left,upper_left,0,vertical,thick,0
raw_q_89a42af3d003e9,raw_grid_00002,images/raw_grid_00002.png,usable_hole_count,How many usable holes are visible in the grid square?,0-3,4-6,7-9,10 or more,A,hard,crowded,square,ice_rings,lower_left,upper_left,0,vertical,thick,0
raw_q_1c306ecf8e2847,raw_grid_00002,images/raw_grid_00002.png,crack_orientation,What is the dominant crack orientation?,no dominant crack,horizontal,vertical,diagonal,C,hard,crowded,square,ice_rings,lower_left,upper_left,0,vertical,thick,0
raw_q_95d9f0c869a434,raw_grid_00003,images/raw_grid_00003.png,best_quadrant,Which quadrant contains the most usable thin-or-medium ice holes?,upper left,upper right,lower left,lower right,C,hard,crowded,offset,ice_rings,lower_left,upper_left,13,horizontal,thin,2
raw_q_012a7647419bab,raw_grid_00003,images/raw_grid_00003.png,usable_hole_count,How many usable holes are visible in the grid square?,0-3,4-6,7-9,10 or more,D,hard,crowded,offset,ice_rings,lower_left,upper_left,13,horizontal,thin,2
